id_comentario	comentario	rotulo_manual	posicao-gpt	BERT
25	a maioria das mortes sao de pardos e mesticos  mulatos vc pega qualquer um que tenha descendencia afro e poe todos como negros nao somos nos existimos e nao somos negros nao use nossa mestissagem para inflar numeros da sua narrativa	-1	-1	-1
18	eu ouvi sete tiros tiros sequenciais afinal quantas perfuracoes tem o corpo  ou o sniper era ruim de mira 	-1	-1	-1
20	efeito bolsonaro	0	0	0
23	certinho voce ne so falta dizer que a arma do policial mirou em uma crianca pobre e atingiu ela por ser negra e nao quis atingir o bandido que mata que estrupa e atenta contra a vida do policial e muitas vezes de sua familia por escolha do mesmo parabens voce esta muito certo	-1	-1	-1
23	quem e joao pedro e o menino morto em 1operacao policial igual a anteriores q tiraram a vida de outras criancas n se pode aceitar isso policia deve proteger n matar criancas ele e pobre negro mora na favela e entao vai ficar por isso mesmo tambem	-1	-1	-1
25	tinham q arrumar para o pazzullo ser julgado pelos seus crimes por um tribunal civil nao pelo militar que sempre absolve os seus assim como no caso dos 80 tiros livres	-1	-1	-1
18	hm e q apareceu diretamente para mim ok	0	0	0
22	cade sua empatia pela vitima que ele sequestrou torturou matou e mutilou no mato	1	1	-1
18	com o pt o dialogo era cabuloso agora e diferente veio	0	0	0
23	assassinado jornalismo incompetente	-1	-1	-1
26	kkkkkkkkk tem videos dos fuzis que foram apreendidos quer que eu te mande	1	1	1
24	porque sera que quando nao tem policia no tiroteio nao tem manchete sensacionalista  	0	0	0
18	estao comemorando que 20 sobreviveram	1	1	1
18	o governador do rio de janeiro wilson witzel esta certo em utilizar atiradores de elite contra criminosos especialmente aqueles de maior periculosidade e claro que os defensores dos direitos humanos dos criminosos sao contra isso alguns alegam que portar fuzil nao pode ser considerado crime sic outros alegam que os preparados atiradores de elite podem confundir guardachuva com fuzil parece piada mas ha quem alegue isso	1	1	1
20	moniquinha grande parte dos famintos da venezuela estao em boa vista em roraima e aqui em manausvem dar uma voltinha por aqui para de passar pano no ditador maduro	0	0	0
23	menino de 14 anos negro morador de uma comunidade e assassinado por policias	-1	-1	-1
21	a tua linha de raciocinio que e errada nao nos que somos o que voce afirmou apenae reorganiza tua linha de pensamento que voce estara certa	0	0	0
22	parabens por falar tanta 	0	0	0
20	policia despreparada corporacao doente psicologicamente sem treinamento salario de fome num estado falido so fazem tudo errado e o bandido se aproveita disso pra botar a culpa sempre na pm pq e uma policia falida e sem moral mata por matar ja entra esculachando morador	-1	-1	-1
25	pior e quem tem alienado fa de bolsonaro que vai querer achar argumentos para defender a acao dos militares	-1	-1	-1
24	ate quandoooooooo	0	0	0
24	cigarros e bebidas tem cerca de 70 do preco em impostos maconha legal estaria assim haveria trafico e plantacao ilegal mais menos em nenhum pais que eu saiba ha liberacao total existem limites de quantidade a comprar ou plantar passar dos limites e ilegal	0	0	0
26	estou apenas sendo coerente a respeito da noticia nao podemos ter base na opiniao da familia da vitima obviamente para elas e mais facil acusarem os policiais lembrando que eles nao estao nem no local	0	0	0
25	pelo amor de deus respeitem a familia deste homem que morreu de maneira brutal parem com esse vitimismo globalista porque os soldados do exercito nem viram quem estava dentro do veiculo mas mesmo assim fuzilaram tds sem do prisao aos culpados por esta barbarie folhalixo	-1	-1	-1
26	cara de onde vc tira que uma operacao dessa gasta muito dinheiro o que se gasta e municao e combustivel	0	0	0
23	chega de investigacoes e notas de repudio que nao mudam nada desta situacao selvagem a sociedade tem que q se mostrar mais selvagem tambem para mostrar seu repudio e a imprensa tem responsabilidade com essa situacao pressao nao precisa ser violentamas firme e localizada	-1	-1	-1
18	mais um cpf cancelado com sucesso sequestrador e morto policia libera refens e encerra sequestro de onibus via	1	1	1
18	o policial comemorou a nautralizacao com o fim do sequestro ele treina 365 dias do ano para ter a chance de executar uma missao destas de vez em nunca salvando 22 vidas inocentes alias ele alvejou e acertou a perna do sujeito a morte ocorreu depois no hospital	1	1	1
18	excelente trabalhopolicia militar menos um criminoso na face da terra	1	1	1
20	deus o deus onde estas que nao respondes em que mundo em questrela tu tescondes embucado nos ceus ha dois mil anos te mandei meu grito que embalde	0	0	0
22	uai mas ele nem chegou a ser preso nao morreu no hospital	0	0	0
24	reuna as provas e entre com uma acao no mp	0	0	0
23	se traficantes invadirem um condominio de luxo e a policia entrar atirando voce vai defender tambem se matarem uma crianca filha de algum advogado uma adolescente filha de uma juiza voce vai dizer que a policia estava apenas fazendo o trabalho dela e sabe o que mais 	-1	-1	-1
20	porque nos temos uma populacao passiva na sua maioria que nao luta que nao esbraveja que nao se incomoda com a dor do outro que so se incomoda e age com sua propria dor que as pessoas mudem antes de sentir essa dor na pele ela nao e boa	-1	-1	-1
20	essa vc matou a pautakkk	0	0	0
22	ah querida leva pra sua casa um cara que estuprou diversas mulheres  mas tinha a inteligencia de se esconder  elvasse pra sua consa e entendesse o contexto	1	1	1
23	voce quis dizer resposta suponho ou nao a linha de raciocinio e tudo menos clara como exemplifica o restante da sentenca	0	0	0
25	oi jair vc esta falando dos policiais que sairam atirando em 5 jovens ou vc esta falando sobre o caso do musico e sua familia	0	0	0
22	morreu apos ser preso certeza	0	0	0
18	alguem sabe me informar se o queiroz estava no onibus	0	0	0
18	parabens policia e governo do rio 	1	1	1
23	oh seu ed sheeran meia boca uma crianca foi sequestrada assassinada e largada no corpo de bombeiros	-1	-1	-1
20	ultimamente nem isso amigo a thais so atacava os postos de combustiveis quando era o pt hoje so se protesta se houver mencoes a liberdade de lula ou se o pt ganha na megasena	0	0	0
20	pq quem defende esse governo nazista no fundo deseja isso mesmo gente pobre e preta morta	-1	-1	-1
22	justica foi feita lazaro morre apos ser preso em goias  goias  g1	1	1	1
24	mas eles exigiram que o tema chegasse ate eles	0	0	0
18	xiiiiiiiiiiii preto cheio para os direitos humanos dos bandidos	1	1	1
18	so pelo susto que o vagabundo deu ja valeu o abate de agora em diante vai ser assim caveira	1	1	1
25	moro no rj pensei que racismo maior era o negro ser metralhado com sua familia pelo exercito apenas por ser negro mas voce deve estar certo receber beneficios e pior	-1	-1	-1
18	quem nao quiser ser morto pela policia e nao roubarmatar ou sequestrar agindo asdim nao corre perigo de morrer muito simples	1	1	1
18	parabens a policia  demoraram muito	1	1	1
20	pq esse e um pais dominado por bandidos	-1	-1	-1
18	o governador estava feliz ele e o povo de gente de bem deste pais que finalmente comeca a endireitar gracas a deus	1	1	1
18	parabens ao oficial deveria ser homenageado 	1	1	1
21	a mulher usou a crianca pra esconder a arma complicado	1	1	1
18	e so ver entao se informe	0	0	0
25	essa gente esta dizendo aos brasileiros como votar	0	0	0
21	queria saber o que aconteceu antes esse video e o final da historia e o comeco	0	0	0
18	o governador apenas comemorou o sucesso da operacao e a preservacao da vida das vitimas esta e a correta percepcao no mas quem comete crimes nao merece empatia deve sim ser julgado e dependendo da gravidade e dorisco implicito morto	1	1	1
18	parabens bolsonaro por autorizar o tiro  meu presidente nao e presidiario 	1	1	1
21	esses caras sao a vergonha da corporacao sao atos como esses que faz a populacao odiar a policia militar	-1	-1	-1
20	e revoltante ler uma noticia dessa tambem e revoltante o jeito que a imprensa joga o povo contra os policiais	1	1	1
22	38 tiros confronto com a policia ou execucao sumaria lazaro barbosa morre apos ser preso em goias  goias  g1	-1	-1	-1
18	levanteze acorda cara do bem contra bandi do kkkk que b	0	0	0
21	a mulher estava usando a crianca como escudo humano foi presa junto ao homem que estava com ela por porte ilegal de arma de fogo e municoes ela apanhou foi pouco parabens a policia militar de minas gerais	1	1	1
23	isso e um tiro no proprio pe	0	0	-1
21	essa e a policia do playboy safado e capaz do playboy condecorar esses bostas ja que ele e chegado no fascismo	-1	-1	-1
23	causa e consequencia ta de zueira com a minha cara ne isso se chama despreparoincompetencia engracado que quando acontece isso em bairro nobre nao cai uma gota de sangue	-1	-1	-1
20	 tudo que eles mais odeiam numa unica criatura livromulhernegra	0	0	0
25	e esse o combate a violencia que bolsonaro e moro e todo o governo bolsonarista prega assassinos que lhes seja cobrado o sangue desses inocentes revoltada fora_bolsonaro	-1	-1	-1
22	agora mostra onde foi que eu te xinguei antes de vc ter me xingado pra vc me chamar de bocal de merda	0	0	0
20	parece ate que os bandidos sao santinhos dentro de uma igreja rezando e comungando	1	1	1
18	nao e ceifando vidas que se resolve da violencia no brasil mas com empregos e educacao de qualidade quando nao se tem isso os corajosos enveredam na delinquencia tornandose bandidos perigosos os fracos vao para a mendicancia e tornamse moradores de rua	-1	-1	-1
24	cala a boquinhacala	0	0	0
20	a policia do rio e como o exercito nacionalmatam sempre inocentes e criancas sempre por equivocos	-1	-1	-1
21	esses ai representam o tipico machao mineiro	0	0	0
24	com o meu dinheiro que nao foi  ou voce acha que os marginais vendem drogas para comprar  computadores sai dai  voce nao sabe de porra nenhuma  nunca subiu em uma comunidade vestido de cidadao normal  oprimido pelo trafico e usado pela midia  como uma porrada de ongs 	0	0	-1
24	eu moro em favela e ele ta certo mas sou branco e minha opiniao tb nao vale claro kkkkkkkkkkkkkkkkk tmnc	0	0	0
22	serial killer ou pistoleiro contratado nunca saberemos	0	0	0
18	parabens a pm do rio que inicia vida nova e comeca a reconquistar a confianca da populacao de bem	1	1	1
23	e de helicoptero	0	0	0
21	se nao for pedir demais pensa bem no que voce ta falando pessoas sem cerebro estao defendendo uma abordagem policial ineficaz burra e cruel e a culpa e dos socialistas inclusive como se eu fosse uma e o que eu disse sabe cansa dividir o mundo com vcs	-1	-1	-1
25	coloque a fonte de onde vc tirou essa noticia mentirosa	0	0	0
26	nao da conta pq estao indo pelo caminho de enxugar gelo nao tem uma investigacao que procure onde as drogas estao sendo plantadasfabricadas ou de onde as armas estao vindo e eu tenho certeza que nenhum secretario de seguranca publica e burro pra achar que isso e produzido 	-1	-1	-1
21	a acao policial foi desproporcional a ameaca que uma mulher com duas criancas pequenas inclusive uma de colo poderia oferecer naquela situacao mesmo que ela tivesse com uma arma o que nao se observa no video como iria fazer uso dela quer lamber bota direito seu	-1	-1	1
18	amanha tem greve de estudantes	0	0	0
18	rj e isso rapeize sem ilusoes	0	0	0
20	uma crianca inocente que perdeu a vida sem saber o porque mas os pais com certeza sabem mas muitos continuam defendendo traficantes e votando em ptpsol entre outros nefastos partidos de esquerda	-1	-1	-1
21	uau mais palmas para esse grande meritocracista voce realmente e o cara palmas palmas	0	0	0
18	parabens a pmrj pela operacao terminada com sucesso vitimas preservadas e sequestrador armado e perigoso eliminado	1	1	1
20	agatha 8 anos baleada ayer en el complexo do alemao murio asesinada por la policia de wilson witzel aculpaedowitzel witzelassassino via	-1	-1	-1
21	ai de procedimento joga a mulher no chao e pisa na crianca	-1	-1	-1
18	comecar eu nao sei mas finalizou certinho parabens a este atirador de elite merece uma medalhe pela acao e por salvar 37 refens naquele momento	1	1	1
18	uma pistola 38 midia brasileira seus conhecimentos belico e de acao de intervencao policial enfim uma acao precisa que preservou a vida de inocentes e neutralizou o agressor com 100 de sucesso o brasil esta mudando acabou a farra de criminosos serem vistos como coitadinhos e depois sua historia virar filme bandido e bandido e so ha dois caminho prisao ou cemiterio os policiais envolvidos merecem a maior condecoracao pelos relevantes servicos prestados um dia perfeito para nos brasileiros de bem	1	1	1
18	parabens a policia	1	1	1
23	morre o caralho foi assassinado	-1	-1	-1
24	so te falo uma coisa jovem tem que crescer muito	0	0	0
22	o assassino do df bolsonaro	0	0	0
18	parabens aos policiais e ao governador wilson witzel um belo recado aos malucos que pensam em sequestrar coletivos e por em risco a polulacao	1	1	1
25	uma mulher e uma crianca de 7 anos um homem de 51 e um outro homem e uma quadrilha poderosissima hein principalmente a crianca de 7 anos e o transeunte que foi tentar ajudar e foi alvejado tambem	-1	-1	-1
18	impressionante como aproveitam qualquer noticia para exaltar o pior presidente da historia do brasil	-1	-1	-1
20	se o objetivo e genocidio especificamente de pretos e pobres esta dando certo  absurdo ate quando	-1	-1	-1
18	o pai de familia que voces defendem e o modelo witzelbozonarofrotamoro se for quero mais e que se foda memo	-1	-1	-1
20	mais uma vitima da policia assassina do witzel ate quando	-1	-1	-1
22	porra nao temos leis q garatam q esse lixo fique preso por isso sabemos q da cova ele nao ira matar ninguem que a policia continue tratando esse tipo de lixo assim	1	1	1
21	a policia nao tem o minimo preparo para contornas essa situacao eles nao tem treinamentos para isso ou negocio eh sair jogando as crianca no chao e pisando na cabeca	-1	-1	-1
22	projeto cpfcnpj limitado sem indenizacao limitado 200ha de terra condicoes de trabalho no campo etc tbm projeto sertao nao e litoral no final o bem tem q vencer	0	0	0
22	assassino serial killer e outra coisa	0	0	0
18	queiroz e impegavel talkei	0	0	0
20	viver vendendo drogas e promovendo a degradacao da saude da populacao  	-1	-1	-1
25	alegar legitima defesa e improvavel pelo conjunto probatorio a utilizacao de legislacao militar para proteger os militares da prisao em flagrante e um absurdo militares e seguranca publica e um grande engodo homem morre em acao do exercito rio	-1	-1	-1
18	parabens a policia  otimo trabalho nao se negocia com sequestradores	1	1	1
22	agora vamos para o que interessa tem uma dividida moral com a nacao brasileira tem que divulgar este lodo de corrupcao	0	0	0
23	sim moca e isso que ela esta afirmando ce quer que marque de novo vou marcar pra voce	0	0	0
18	concordo completamente com sua posicaobandido so respeita aquilo que os faz ter medo	1	1	1
20	dois pontos as pessoas fazendo politicagem com a morte de um inocente pq o ataque ao governador e a foto publicada pela deputada foto psol e isto outro ponto faz um muro na favela e a policia so fica de fora pra eles nao sairem deixa o povo que so protesta contra a policia se virar com os traficantes ai nao tera mais morte de inocente na favela por bala perdida da policia e nem de traficante ja que la sao todos da paz	-1	-1	-1
25	somente os bolsonaross	0	0	0
22	deveria queimar o corpo pra nao ocupar espaco foi tarde	1	1	1
21	podem me cancelar 310 seguidores vai pastar robo	0	0	0
20	ha bandidos organizados e fortemente armados no rio obvio que sim ocorre que o que estamos assistindo e inaceitavel absolutamente inaceitavel nao e razoavel o numero de mortos e nao vamos ser falsos em nao aceitar que a imensa maioria das vitimas foi abatida por uma policia de baixissima capacidade e qualidade o fenomeno que assusta mesmo e a populacao estar mais a temer a propria policia dos que os bandidos isso e gravissimo e para piorar um governador desvairado	-1	-1	-1
18	nao sou especialista mas ao meu ver teria como salvar a todos sem matar ninguem mas ja q foi feito louvar o atirador e querer promover afim de dizer  pode matar mais nunca sera a solucao pra um estado livre de violencia	-1	-1	-1
18	qual a solucao conta pra gente ja que vc sabe	0	0	0
24	eu nao sei em que area voce mora pq oq mais ta tendo e operacao 	0	0	0
22	hahahahahhahahaha ri muito	0	0	0
23	monica desculpe meu frances mas fodase as desculpas publicas assim seguimos com desculpas e notas de repudio isso foi assassinato 	-1	-1	-1
23	vai tomar no teu cu verme	0	0	0
26	ate onde sei so morreu bandido e gracas a deus somente um policial nao vejo problema na morte desses vagabundos	1	1	1
18	do discover no google	0	0	0
26	faxina neles 24 foi pouco	1	1	1
18	parabens para a policial que venha os doutrinados encher a paciencia	1	1	1
18	menos uma barata na rua parabens a policia do rj e isso ai	1	1	1
20	este e o pais que vai pra frente a maioria apertou o gatilho querem palmas indignaco	-1	-1	-1
18	otimo exemplo nao tem mais espaco para criminosos foram anos e anos protegendo estes marginais	1	1	1
22	finalmente esses 300 policiais conseguiram levou so um mes hahaha agora tem que investigar se tem mais fazendeiros que usaram essa situacao tragica pra lucrar em cima do medo	1	1	1
25	o cara era negro tem que morrer mesmo nao e isso estado brasileiro	-1	-1	-1
18	parabens a policia pelo bom trabalho que fez	1	1	1
23	depos a gente zoa sulista e o pessoal apela continua vivendo na sua bolha mesmo seu pensamento aqui nao agrega em nada	0	0	0
26	isso e narcotrafico minha filha infelizmente a quem vc aplaude deixou essa heranca para o pais inteiro vide as apreensoes kilos mais kilos de cocaine	1	1	1
18	nossa a que ponto estamos chegado o simples fato de matar um criminoso se torna motivo de comemoracao comemoramos qual vitoria eu sinceramente estou cansado de tanta violencia e tanta comemoracao pra nada apenas mais um ato de alguem fazendo algo violento numa cidade violenta	-1	-1	-1
24	mano que inferno puta que pariu	0	0	0
23	exatamente parece que o menino foi culpado por estar na frente da bala do policial que gente podre meu deus	-1	-1	-1
20	e um absurdo achar que a policia e a grande vila nessa guerra aonde o traficante manda e desmanda policia nao entra em comunidade atirando  isso e uma mentira  sou solidario por mais inocente morto  mas essa guerra nao e culpa do estado e sim desses traficantes que imperam dentro da sua comunidade  temos duas alternativas  ou o governo do estado tira a policia das favelas e deixam eles se matarem pra la  ou entao coloca uma turma de escoteiros pra combater o trafico 	1	1	1
26	parabens a core pelo excelente trabalho realizado no jacarezinho infelizmente um policial perdeu a vida que deus conforte a familia desse guerreiro que mais cpfs de vagabundos sejam cancelados	1	1	1
25	discordo em o exercito disser que foi um erro afinal 80 tiros e um absurdo agora a senhora vim disser que se tratar de um abate de negros ai e demais afinal so tinha soldados loiros com olhos verdes atirando no carro	-1	-1	-1
21	esta refletindo ne sabe seu fetiche de lamber botas elas passam pelo chao coco de cao vermes acredito muito que o vermifugo va ajudar quanto aos chifres relaxe acontece mas procure ajuda profissional eu tenho coisas mais importantes para fazer tchau 	0	0	0
18	totalmente desnecessario apontar onde esta o atirador de elite	0	0	0
20	nao luz silva a culpa e sua	0	0	0
